age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
19,Self-emp-inc,435290,Some-college,11,Married-civ-spouse,Prof-specialty,Own-child,White,Female,99982,1,43,Mexico,<=50K
48,Local-gov,155124,Bachelors,10,Married-civ-spouse,Prof-specialty,Wife,White,Male,7020,0,36,United-States,>50K
18,Self-emp-inc,40603,11th,13,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,87696,414,20,United-States,<=50K
55,Self-emp-not-inc,103037,Bachelors,12,Never-married,Adm-clerical,Not-in-family,White,Male,77432,0,62,United-States,>50K
32,?,182120,Some-college,11,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,4078,0,33,United-States,<=50K
55,Private,91904,11th,15,Married-civ-spouse,Other-service,Husband,White,Male,99822,57,41,United-States,>50K
32,Private,89109,Assoc-acdm,6,Never-married,Priv-house-serv,Husband,White,Male,354,1,32,United-States,<=50K
54,Local-gov,87056,Some-college,11,Married-civ-spouse,?,Own-child,White,Male,96836,0,46,United-States,<=50K
41,Private,101092,9th,13,Married-civ-spouse,Sales,Own-child,White,Male,99817,0,34,United-States,>50K
21,Private,188714,HS-grad,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,24419,0,51,United-States,<=50K
42,Private,292008,HS-grad,6,Married-civ-spouse,Other-service,Unmarried,White,Male,6625,0,64,United-States,<=50K
51,Private,296891,Some-college,5,Never-married,Craft-repair,Husband,Black,Male,480,0,38,?,<=50K
36,Private,101272,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4115,0,27,United-States,<=50K
60,Local-gov,433690,Some-college,7,Divorced,Craft-repair,Husband,White,Male,3,0,40,United-States,>50K
48,Private,104272,5th-6th,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,401,48,53,Philippines,>50K
42,Self-emp-not-inc,157208,Bachelors,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,242,21,51,United-States,>50K
27,Self-emp-not-inc,169891,7th-8th,9,Never-married,Other-service,Other-relative,White,Male,27025,7,16,United-States,<=50K
34,Private,175660,Masters,9,Never-married,Adm-clerical,Husband,White,Male,62689,0,47,?,<=50K
38,Private,234650,Doctorate,10,Married-civ-spouse,Handlers-cleaners,Wife,White,Male,2356,1365,24,United-States,>50K
51,Private,247213,Some-college,10,Widowed,Craft-repair,Husband,White,Male,161,18,50,United-States,>50K
53,Private,384635,HS-grad,10,Married-civ-spouse,?,Not-in-family,White,Male,6,39,33,United-States,<=50K
59,Self-emp-not-inc,44105,Bachelors,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,28358,536,30,United-States,<=50K
17,Private,147042,HS-grad,12,Never-married,Transport-moving,Own-child,White,Male,93428,134,22,United-States,<=50K
29,Private,123813,11th,8,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,99244,0,59,?,<=50K
43,Private,177476,Assoc-acdm,5,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,6780,0,43,United-States,<=50K
49,Private,176838,Prof-school,12,Divorced,Handlers-cleaners,Own-child,White,Male,5,0,48,United-States,<=50K
38,Private,104046,Some-college,13,Separated,Exec-managerial,Own-child,White,Female,90699,65,57,United-States,>50K
42,Private,321877,7th-8th,6,Married-spouse-absent,Other-service,Husband,White,Male,47171,0,55,United-States,<=50K
39,Local-gov,242574,Bachelors,14,Never-married,Exec-managerial,Husband,Black,Female,91939,0,65,United-States,<=50K
76,Private,39010,Bachelors,12,Divorced,Prof-specialty,Husband,White,Male,10354,0,63,United-States,>50K
28,Private,49959,HS-grad,12,Married-civ-spouse,Prof-specialty,Own-child,White,Male,99025,0,45,United-States,<=50K
29,Local-gov,367389,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,29,0,55,United-States,>50K
34,Private,65877,Bachelors,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,69506,9,53,United-States,>50K
48,Private,107257,HS-grad,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,98579,0,56,United-States,<=50K
53,?,92375,HS-grad,10,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,60,0,45,United-States,<=50K
30,?,384343,Doctorate,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Female,429,0,19,United-States,<=50K
43,Local-gov,293486,Bachelors,6,Divorced,Adm-clerical,Not-in-family,White,Female,23961,0,34,United-States,<=50K
42,Local-gov,66916,Bachelors,11,Married-civ-spouse,Other-service,Not-in-family,White,Male,99580,0,42,United-States,<=50K
42,Private,256322,Bachelors,9,Married-civ-spouse,Other-service,Husband,White,Female,40774,197,29,United-States,<=50K
44,Private,258022,Some-college,11,Divorced,Craft-repair,Unmarried,White,Male,97828,0,35,United-States,<=50K
55,Private,129714,10th,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,57848,0,68,United-States,<=50K
40,Private,54154,Some-college,10,Divorced,Sales,Husband,White,Male,4153,0,33,United-States,>50K
20,Private,78774,Assoc-acdm,7,Never-married,Adm-clerical,Other-relative,White,Male,53,0,51,United-States,<=50K
51,Local-gov,346067,HS-grad,14,Divorced,Craft-repair,Not-in-family,White,Female,90932,0,29,United-States,<=50K
37,Private,122521,Bachelors,13,Never-married,Exec-managerial,Husband,White,Female,99982,39,31,United-States,<=50K
34,Self-emp-inc,20005,Some-college,4,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,10861,4,35,United-States,<=50K
31,Private,72977,Some-college,6,Married-civ-spouse,Other-service,Not-in-family,White,Female,5939,0,36,United-States,<=50K
20,State-gov,67561,HS-grad,8,Never-married,?,Husband,White,Female,89778,0,23,United-States,<=50K
25,Self-emp-inc,207019,Masters,12,Never-married,Farming-fishing,Not-in-family,White,Male,89941,0,43,United-States,<=50K
75,State-gov,157616,10th,12,Divorced,?,Unmarried,White,Male,45722,0,51,United-States,<=50K
47,Private,174527,Bachelors,10,Never-married,Other-service,Not-in-family,White,Female,42799,89,61,United-States,<=50K
28,Private,126232,Some-college,13,Widowed,Sales,Husband,Black,Female,5324,1,37,United-States,<=50K
26,Private,92245,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Female,96577,126,18,United-States,>50K
54,Private,411216,1st-4th,8,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,89270,0,40,United-States,<=50K
33,Private,186172,Some-college,6,Married-spouse-absent,Adm-clerical,Husband,White,Male,35031,0,43,United-States,<=50K
62,Self-emp-inc,177459,Bachelors,14,Divorced,Prof-specialty,Not-in-family,White,Female,90332,0,47,United-States,<=50K
35,Private,156285,Bachelors,10,Never-married,Exec-managerial,Not-in-family,White,Male,71892,0,48,United-States,>50K
43,?,138903,Some-college,9,Married-civ-spouse,Farming-fishing,Husband,White,Female,64111,0,19,United-States,<=50K
57,Self-emp-not-inc,279959,Bachelors,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,87850,0,44,United-States,>50K
36,Private,235439,Bachelors,10,Divorced,Sales,Not-in-family,White,Male,81561,2,38,United-States,<=50K
54,?,298452,Doctorate,10,Divorced,Adm-clerical,Not-in-family,White,Male,21333,0,57,United-States,<=50K
44,Private,57079,Bachelors,7,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,16039,0,39,United-States,<=50K
35,Private,112111,11th,13,Married-civ-spouse,Craft-repair,Husband,White,Female,42317,0,55,United-States,<=50K
39,?,67197,Bachelors,11,Divorced,Craft-repair,Unmarried,White,Female,96332,0,52,Ireland,>50K
17,Private,208127,Some-college,12,Never-married,Transport-moving,Husband,White,Female,18293,0,34,United-States,<=50K
34,Private,157214,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Black,Male,42843,0,32,Cambodia,>50K
42,Private,65371,HS-grad,7,Married-civ-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Male,36085,15,49,United-States,<=50K
44,State-gov,174703,Bachelors,6,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,74856,0,31,United-States,<=50K
53,State-gov,289006,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,Black,Male,77332,16,35,United-States,>50K
27,Private,138257,Assoc-voc,7,Never-married,Craft-repair,Own-child,White,Male,96037,0,35,United-States,<=50K
33,Private,195938,Bachelors,7,Widowed,Exec-managerial,Unmarried,White,Male,332,0,38,India,<=50K
26,State-gov,73517,Bachelors,15,Never-married,?,Unmarried,White,Male,93642,2,32,United-States,>50K
22,Private,72764,Preschool,8,Never-married,Sales,Unmarried,White,Male,6871,3,28,United-States,<=50K
48,Private,282697,Masters,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,78904,84,35,United-States,<=50K
43,Self-emp-inc,231929,HS-grad,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,1270,1,46,United-States,>50K
22,Federal-gov,224800,Some-college,5,Married-civ-spouse,Other-service,Unmarried,White,Male,59483,0,31,United-States,<=50K
21,Private,208425,Some-college,7,Never-married,Craft-repair,Wife,White,Female,47726,3,36,United-States,<=50K
27,Private,328174,10th,10,Married-civ-spouse,Priv-house-serv,Wife,White,Male,13048,162,37,United-States,>50K
17,Private,178598,Masters,8,Never-married,Prof-specialty,Husband,White,Female,98737,5,25,Trinadad&Tobago,<=50K
48,Private,72154,Masters,11,Divorced,Prof-specialty,Husband,White,Female,1016,0,33,El-Salvador,<=50K
39,Private,106011,HS-grad,10,Divorced,Machine-op-inspct,Husband,White,Female,8772,30,27,United-States,<=50K
29,Private,86535,Some-college,7,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Male,612,0,32,United-States,<=50K
22,Private,121631,Masters,6,Married-civ-spouse,Other-service,Wife,White,Male,19521,0,82,United-States,<=50K
47,Private,158401,Assoc-acdm,13,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,55281,0,51,United-States,<=50K
19,Private,118539,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,11156,2,54,United-States,<=50K
26,Local-gov,142955,Bachelors,10,Married-civ-spouse,Sales,Own-child,Black,Male,54172,29,39,United-States,<=50K
37,Private,171676,Some-college,9,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Female,66765,1,14,United-States,<=50K
30,Private,438356,Assoc-voc,8,Married-civ-spouse,Craft-repair,Husband,White,Male,94290,0,57,United-States,<=50K
21,Self-emp-not-inc,25602,HS-grad,10,Married-spouse-absent,Farming-fishing,Wife,White,Male,14878,0,33,United-States,<=50K
65,?,181289,9th,11,Divorced,Machine-op-inspct,Unmarried,White,Male,32729,50,47,United-States,<=50K
47,Local-gov,109731,7th-8th,10,Married-civ-spouse,Craft-repair,Unmarried,White,Male,58309,1,63,United-States,<=50K
26,Private,91638,Prof-school,6,Married-civ-spouse,Sales,Not-in-family,White,Male,64337,0,15,United-States,>50K
29,Private,510769,Some-college,12,Never-married,Handlers-cleaners,Own-child,White,Male,83964,246,55,United-States,>50K
29,Private,124508,HS-grad,12,Married-civ-spouse,Adm-clerical,Husband,White,Female,99730,0,38,United-States,<=50K
26,Private,28873,HS-grad,16,Never-married,Sales,Husband,White,Female,2324,301,16,United-States,<=50K
38,Private,97578,HS-grad,10,Divorced,Machine-op-inspct,Husband,Black,Male,86375,0,47,?,>50K
52,?,72346,Assoc-acdm,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,90459,23,41,United-States,<=50K
38,Self-emp-inc,152918,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,1342,0,47,United-States,<=50K
56,Local-gov,140715,Bachelors,5,Married-civ-spouse,Other-service,Not-in-family,White,Male,61619,13,30,United-States,<=50K
26,State-gov,166262,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,12637,0,38,United-States,<=50K
43,Private,203283,Prof-school,9,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,12725,0,32,United-States,>50K
22,?,58028,HS-grad,10,Never-married,Sales,Own-child,Black,Male,1288,5,37,United-States,<=50K
45,Private,175105,Bachelors,8,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,88512,0,22,United-States,<=50K
43,Private,228833,HS-grad,10,Married-civ-spouse,Other-service,Unmarried,Black,Female,99497,1,44,United-States,<=50K
25,Private,77004,Masters,9,Never-married,Prof-specialty,Unmarried,White,Male,94580,0,39,United-States,<=50K
56,Private,60343,HS-grad,13,Divorced,Other-service,Husband,White,Male,2462,0,43,United-States,<=50K
61,Private,170165,11th,11,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,50926,2,43,?,>50K
20,Private,241240,HS-grad,9,Never-married,Craft-repair,Wife,White,Male,88115,0,35,Cambodia,>50K
25,Private,104030,Masters,7,Never-married,Tech-support,Own-child,White,Male,310,0,37,United-States,<=50K
32,Private,46590,HS-grad,12,Never-married,Adm-clerical,Own-child,White,Male,11556,0,38,United-States,<=50K
48,State-gov,178793,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,21022,267,45,United-States,>50K
42,Private,124543,Prof-school,8,Married-civ-spouse,Other-service,Not-in-family,White,Female,95,0,33,United-States,<=50K
49,Private,292630,Some-college,2,Divorced,Craft-repair,Wife,Black,Male,369,0,18,Taiwan,<=50K
49,Private,167926,HS-grad,11,Divorced,Adm-clerical,Unmarried,White,Male,46491,1,40,United-States,>50K
37,State-gov,94398,HS-grad,7,Married-civ-spouse,Sales,Husband,White,Male,88842,6,40,United-States,<=50K
31,Private,132709,HS-grad,14,Married-civ-spouse,Other-service,Husband,White,Male,97008,1,56,United-States,>50K
41,?,110391,Bachelors,8,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,8315,0,42,Mexico,<=50K
21,Self-emp-not-inc,281458,Some-college,12,Never-married,Transport-moving,Own-child,White,Male,99158,22,26,United-States,>50K
25,Private,74796,Masters,8,Married-civ-spouse,Exec-managerial,Husband,White,Female,30605,0,41,United-States,>50K
47,Self-emp-not-inc,159772,Bachelors,12,Married-civ-spouse,Sales,Husband,Other,Female,92528,16,58,United-States,<=50K
59,Private,424783,Bachelors,6,Widowed,Machine-op-inspct,Husband,White,Male,53760,0,54,United-States,>50K
74,Private,57690,11th,10,Widowed,Adm-clerical,Husband,White,Male,15931,0,69,United-States,>50K
34,Private,355146,10th,10,Never-married,Machine-op-inspct,Own-child,White,Male,16057,1,42,United-States,<=50K
37,Private,419549,Assoc-acdm,12,Never-married,Craft-repair,Husband,White,Male,37157,537,50,United-States,<=50K
19,?,21512,HS-grad,9,Married-civ-spouse,Farming-fishing,Other-relative,White,Female,318,0,18,United-States,<=50K
73,Private,242354,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,731,1,31,United-States,<=50K
38,Federal-gov,212531,HS-grad,8,Married-civ-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Male,30509,208,39,United-States,>50K
27,Local-gov,333051,7th-8th,8,Never-married,Farming-fishing,Wife,Black,Male,6526,0,59,United-States,<=50K
49,Private,61086,HS-grad,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,37919,0,59,United-States,<=50K
39,Private,129420,Some-college,11,Married-civ-spouse,Transport-moving,Husband,Black,Male,25253,0,55,United-States,>50K
29,Private,272773,HS-grad,7,Married-civ-spouse,Exec-managerial,Own-child,White,Male,14755,81,36,United-States,<=50K
47,?,282607,HS-grad,13,Divorced,Sales,Not-in-family,White,Male,10689,5,23,United-States,<=50K
37,Private,154929,HS-grad,11,Divorced,Exec-managerial,Husband,White,Female,0,0,24,United-States,<=50K
40,Private,92041,Some-college,9,Divorced,Craft-repair,Husband,Asian-Pac-Islander,Male,57860,0,50,United-States,<=50K
45,Private,297940,Masters,10,Married-civ-spouse,Transport-moving,Unmarried,White,Male,97772,0,36,United-States,<=50K
56,Private,211244,Assoc-voc,11,Married-civ-spouse,Sales,Unmarried,White,Male,83584,108,49,United-States,<=50K
21,Self-emp-not-inc,39356,Some-college,14,Never-married,Prof-specialty,Own-child,White,Male,55983,13,37,United-States,<=50K
49,Self-emp-not-inc,57379,9th,8,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,54707,0,34,United-States,<=50K
29,Private,44514,Assoc-acdm,10,Never-married,Exec-managerial,Own-child,White,Male,71960,0,30,Philippines,<=50K
34,Self-emp-not-inc,300901,HS-grad,11,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,95382,0,27,United-States,<=50K
30,Private,211685,Bachelors,12,Widowed,Adm-clerical,Husband,White,Male,207,144,36,United-States,<=50K
23,Private,183434,11th,10,Married-civ-spouse,Prof-specialty,Husband,White,Female,93821,0,25,United-States,<=50K
32,Self-emp-not-inc,333009,HS-grad,7,Widowed,Sales,Husband,White,Male,77572,0,36,United-States,<=50K
38,?,135187,Assoc-acdm,9,Divorced,Machine-op-inspct,Husband,White,Male,39065,89,32,United-States,<=50K
27,Self-emp-not-inc,93518,Some-college,13,Never-married,Craft-repair,Own-child,Black,Male,45234,0,56,United-States,<=50K
43,Self-emp-inc,100007,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,1149,0,42,United-States,<=50K
32,Private,36050,Masters,9,Never-married,Sales,Husband,White,Male,19271,2,46,?,>50K
31,Self-emp-inc,95057,10th,14,Married-civ-spouse,Transport-moving,Husband,White,Female,96176,0,60,United-States,>50K
24,Private,181234,Some-college,9,Married-civ-spouse,Tech-support,Unmarried,White,Male,9,0,32,United-States,<=50K
51,Private,300447,Some-college,8,Never-married,Exec-managerial,Husband,White,Male,2738,146,47,United-States,<=50K
39,Private,60342,10th,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,25931,23,30,United-States,<=50K
41,Self-emp-not-inc,353910,Bachelors,8,Never-married,Adm-clerical,Own-child,White,Male,50462,0,25,United-States,<=50K
61,Private,273076,HS-grad,10,Divorced,Adm-clerical,Husband,White,Male,22036,198,27,United-States,<=50K
27,Private,96705,Prof-school,9,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,13857,0,35,United-States,<=50K
22,Private,77366,Masters,7,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,79562,0,29,United-States,<=50K
31,Private,208880,Bachelors,11,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,12345,13,41,United-States,<=50K
33,Self-emp-not-inc,54059,HS-grad,11,Never-married,Exec-managerial,Wife,White,Female,231,1,39,United-States,<=50K
29,Private,68181,Prof-school,9,Never-married,Prof-specialty,Not-in-family,White,Male,641,11,27,United-States,<=50K
70,Private,158495,HS-grad,8,Separated,Sales,Unmarried,White,Female,94320,1,53,United-States,<=50K
31,Private,220782,Some-college,11,Never-married,Tech-support,Own-child,White,Male,15164,403,40,El-Salvador,<=50K
30,Private,281144,10th,16,Married-civ-spouse,Sales,Not-in-family,Black,Male,83376,66,53,United-States,>50K
58,Private,218807,HS-grad,11,Separated,Sales,Own-child,White,Male,50299,0,70,?,<=50K
35,Private,114430,HS-grad,13,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,38,127,36,United-States,<=50K
29,Federal-gov,124464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,2,1,45,United-States,<=50K
20,Private,399200,HS-grad,10,Never-married,Sales,Husband,White,Male,26371,22,27,England,<=50K
26,Federal-gov,40685,11th,9,Never-married,Adm-clerical,Husband,White,Female,9508,0,56,United-States,>50K
63,Self-emp-not-inc,252885,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,67018,0,69,United-States,<=50K
30,Federal-gov,254618,Bachelors,12,Never-married,Sales,Unmarried,White,Male,80107,0,64,United-States,<=50K
24,Local-gov,286968,Some-college,12,Never-married,Sales,Wife,White,Male,82729,11,51,United-States,>50K
19,Private,87803,HS-grad,8,Never-married,Craft-repair,Husband,White,Male,15712,0,42,United-States,<=50K
57,?,315974,Bachelors,15,Separated,Prof-specialty,Husband,White,Female,1897,28,56,United-States,<=50K
63,Local-gov,243304,HS-grad,11,Divorced,Craft-repair,Own-child,White,Female,90694,193,17,United-States,<=50K
67,Private,245180,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,18298,0,29,United-States,<=50K
28,Private,166531,Some-college,12,Never-married,Craft-repair,Not-in-family,White,Male,2947,93,33,United-States,<=50K
58,?,309105,Bachelors,16,Divorced,Sales,Not-in-family,White,Male,47344,732,42,United-States,>50K
37,Private,52428,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,67427,0,33,United-States,<=50K
50,State-gov,257458,Prof-school,13,Married-civ-spouse,?,Not-in-family,White,Female,35494,16,27,United-States,<=50K
67,Private,180877,Some-college,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,270,0,49,United-States,>50K
26,Private,179465,Bachelors,9,Never-married,Prof-specialty,Unmarried,White,Male,1757,0,28,United-States,<=50K
57,Self-emp-not-inc,56780,10th,10,Divorced,Sales,Own-child,White,Male,47905,23,46,United-States,<=50K
25,Federal-gov,278748,HS-grad,14,Never-married,Prof-specialty,Not-in-family,White,Female,20010,0,38,United-States,<=50K
52,Private,126808,HS-grad,10,Widowed,Other-service,Not-in-family,White,Female,14,158,39,United-States,<=50K
61,Local-gov,482949,Prof-school,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,47551,0,43,Canada,>50K
24,Private,90817,Bachelors,8,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,1218,0,38,Mexico,<=50K
28,Private,42794,HS-grad,10,Married-civ-spouse,?,Unmarried,White,Male,439,1,52,United-States,>50K
32,Private,114805,Some-college,7,Never-married,Transport-moving,Husband,White,Male,546,1,43,United-States,<=50K
30,Local-gov,206234,10th,15,Married-spouse-absent,Prof-specialty,Unmarried,White,Male,42146,0,39,United-States,<=50K
51,Private,272576,Bachelors,11,Divorced,Prof-specialty,Not-in-family,White,Female,88001,0,22,United-States,<=50K
28,Private,297210,Preschool,11,Never-married,Handlers-cleaners,Husband,White,Male,24697,119,41,United-States,<=50K
29,?,153227,HS-grad,12,Never-married,Adm-clerical,Not-in-family,White,Male,48640,0,36,United-States,<=50K
38,Private,51281,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,53302,0,38,United-States,>50K
55,Self-emp-not-inc,133113,HS-grad,3,Never-married,Adm-clerical,Husband,White,Female,1408,0,18,United-States,<=50K
41,Private,257868,12th,10,Never-married,Prof-specialty,Not-in-family,Black,Male,6143,103,30,United-States,>50K
25,Private,160622,10th,13,Divorced,Machine-op-inspct,Not-in-family,White,Male,95632,0,44,United-States,>50K
66,Self-emp-inc,196244,HS-grad,15,Married-spouse-absent,Prof-specialty,Husband,White,Female,7354,0,25,United-States,<=50K
42,Private,36294,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,8145,0,23,United-States,<=50K
36,Private,193815,HS-grad,13,Never-married,Prof-specialty,Not-in-family,White,Male,12020,13,44,?,<=50K
27,Private,185663,Some-college,12,Never-married,Adm-clerical,Husband,White,Male,99391,0,28,United-States,<=50K
50,Private,160225,Some-college,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,58838,0,51,United-States,>50K
38,Private,140581,Some-college,6,Married-civ-spouse,Transport-moving,Husband,White,Female,44614,4,36,United-States,<=50K
18,Private,387647,HS-grad,6,Never-married,Other-service,Husband,Asian-Pac-Islander,Male,29780,0,29,United-States,<=50K
20,Private,504527,10th,13,Never-married,Craft-repair,Husband,Black,Male,82356,42,48,United-States,>50K
25,Local-gov,218909,HS-grad,8,Never-married,Prof-specialty,Wife,White,Female,30774,0,40,United-States,<=50K
22,Private,47669,9th,13,Divorced,Prof-specialty,Not-in-family,White,Male,6323,7,39,United-States,<=50K
36,State-gov,272689,Masters,12,Married-civ-spouse,Prof-specialty,Husband,Black,Male,5192,1,35,United-States,<=50K
56,Private,50776,HS-grad,10,Divorced,Adm-clerical,Not-in-family,White,Female,35388,0,32,United-States,>50K
75,?,44339,HS-grad,12,Divorced,Prof-specialty,Husband,White,Male,93206,191,50,United-States,<=50K
33,Private,317502,Bachelors,7,Divorced,Machine-op-inspct,Unmarried,White,Female,76199,12,28,United-States,<=50K
29,Private,421501,Doctorate,12,Never-married,Farming-fishing,Husband,White,Male,84127,1,41,United-States,<=50K
32,Private,60886,Assoc-voc,9,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,782,0,17,United-States,<=50K
24,Federal-gov,88896,11th,13,Never-married,Sales,Husband,Asian-Pac-Islander,Female,31698,0,40,United-States,>50K
41,Private,131355,Bachelors,7,Married-civ-spouse,Transport-moving,Unmarried,White,Male,7190,0,54,United-States,<=50K
